reassignment_count,reopen_count,sys_mod_count,impact,urgency,priority,made_sla
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
0,0,0,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
1,0,4,2,2,3,1
2,0,5,2,2,3,1
2,0,6,2,2,3,1
3,0,7,2,2,3,1
4,0,8,2,2,3,1
5,0,9,2,2,3,1
6,0,10,2,2,3,1
6,0,11,2,2,3,1
6,0,12,2,2,3,1
6,0,13,2,2,3,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,1
0,0,0,2,2,3,1
0,0,5,2,2,3,1
0,0,6,2,2,3,1
0,0,7,2,2,3,1
7,0,23,2,2,3,1
7,0,26,2,2,3,1
7,0,28,2,2,3,1
7,0,30,2,2,3,1
7,0,31,2,2,3,1
7,0,32,2,2,3,1
7,0,33,2,2,3,1
7,0,34,2,2,3,0
0,0,0,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,0
0,0,0,2,2,3,1
1,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,1
0,0,0,2,2,3,1
1,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,2,1,1,1,1
0,0,3,1,1,1,1
0,0,4,1,1,1,1
0,0,5,1,1,1,1
0,0,6,1,1,1,1
0,0,7,1,1,1,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,1
1,0,11,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,1
1,0,11,2,2,3,1
1,0,12,2,2,3,1
1,0,13,2,2,3,1
1,0,14,2,2,3,1
1,0,15,2,2,3,1
1,0,16,2,2,3,1
1,0,17,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,0
0,0,0,3,3,4,1
1,0,1,3,3,4,1
2,0,2,3,3,4,1
2,0,3,3,3,4,1
2,0,4,3,3,4,1
2,0,6,3,3,4,1
3,0,8,3,3,4,1
3,0,9,3,3,4,1
3,0,10,3,3,4,1
0,0,0,2,2,3,1
1,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
1,0,5,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,1,8,2,2,3,1
1,1,11,2,2,3,1
1,1,12,2,2,3,1
1,1,13,2,2,3,1
1,1,14,2,2,3,1
1,1,17,2,2,3,1
1,1,18,2,2,3,1
1,1,19,2,2,3,1
1,1,20,2,2,3,1
1,1,21,2,2,3,1
1,1,22,2,2,3,1
1,1,23,2,2,3,1
1,1,26,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,5,2,2,3,0
0,0,0,2,2,3,1
0,0,0,3,3,4,1
0,0,1,3,3,4,1
0,0,2,3,3,4,1
0,0,3,3,3,4,1
0,0,7,3,3,4,1
0,0,8,3,3,4,1
0,0,9,3,3,4,1
0,0,10,3,3,4,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,5,2,2,3,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,5,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,1
1,0,9,2,2,3,1
1,0,10,2,2,3,0
0,0,0,2,2,3,1
1,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,3,2,2,3,1
1,0,4,2,2,3,1
0,0,0,2,3,4,1
0,0,7,2,3,4,1
0,0,8,2,3,4,1
0,0,44,2,3,4,1
0,0,45,2,3,4,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
3,0,7,2,2,3,1
3,0,8,2,2,3,1
4,0,11,2,2,3,1
4,0,15,2,2,3,1
4,0,16,2,2,3,1
4,0,17,2,2,3,1
4,0,18,2,2,3,0
0,0,0,2,3,4,1
0,0,4,2,3,4,1
0,0,44,2,3,4,1
0,0,105,2,3,4,1
0,0,106,2,3,4,0
0,0,0,2,3,4,1
0,0,2,2,3,4,1
0,0,3,2,3,4,1
0,0,6,2,3,4,1
0,0,18,2,3,4,1
0,0,21,2,3,4,1
0,0,22,2,3,4,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,0,2,2,3,1
0,0,1,2,2,3,1
1,0,2,2,2,3,1
1,0,5,2,2,3,1
2,0,6,2,2,3,1
3,0,7,2,2,3,1
3,0,8,2,2,3,1
3,0,9,2,2,3,1
3,0,10,2,2,3,0
1,0,4,2,2,3,1
1,0,6,2,2,3,1
1,0,7,2,2,3,1
1,0,8,2,2,3,0
0,0,0,2,3,4,1
0,0,4,2,3,4,1
0,0,5,2,3,4,1
0,0,16,2,3,4,1
0,0,17,2,3,4,0
0,0,0,1,1,1,1
0,0,1,1,1,1,1
0,0,2,1,1,1,1
0,0,3,1,1,1,1
0,0,4,1,1,1,1
0,0,5,1,1,1,0
0,0,0,2,3,4,1
0,0,1,2,3,4,1
0,0,2,2,3,4,1
0,0,8,2,3,4,1
0,0,14,2,3,4,1
0,0,15,2,3,4,0
0,0,0,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,0,3,3,4,1
0,0,1,3,3,4,1
0,0,5,3,3,4,1
0,0,7,3,3,4,1
0,0,8,3,3,4,0
0,0,0,2,3,4,1
0,0,1,2,3,4,1
0,0,12,2,3,4,1
0,0,19,2,3,4,1
0,0,28,2,3,4,1
0,0,32,2,3,4,1
0,0,33,2,3,4,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,13,2,2,3,1
0,0,14,2,2,3,0
0,0,0,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,0
0,0,0,2,2,3,1
0,0,1,1,1,1,1
0,0,2,1,1,1,1
0,0,5,1,1,1,1
0,0,6,1,1,1,1
0,0,7,1,1,1,1
0,0,8,1,1,1,0
0,0,0,2,2,3,1
0,0,1,2,2,3,1
0,0,2,2,2,3,1
0,0,3,2,2,3,1
0,0,4,2,2,3,1
0,0,5,2,2,3,1
0,0,0,2,2,3,1
0,0,5,2,2,3,1
0,0,6,2,2,3,1
0,0,7,2,2,3,1
0,0,8,2,2,3,1
0,0,9,2,2,3,1
0,0,10,2,2,3,1
0,0,11,2,2,3,1
0,0,12,2,2,3,1
0,0,13,2,2,3,0
0,0,0,1,1,1,1
